ID,URL,Thumbnail URL,Game,Vibrant,DarkVibrant,LightVibrant,Muted,DarkMuted,LightMuted,Price,Brief Description,Creator,Creator Itch.IO Page,Status,Updated,Platforms,Publisher,Release date,Rating,Authors,Genre,Made with,Tags,Average session,Languages,Inputs,Accessibility,Links,Number of Ratings
993590,https://spiralatlas.itch.io/pride-or-prejudice,https://img.itch.zone/aW1nLzcxMDg1NTIucG5n/315x250%23c/XHkt2a.png,Pride or Prejudice [DEMO],#be6a96,#5c2843,#f4ce9c,#5f61a4,#456074,#cab5b1,,"Like Pride and Prejudice, but queer and interactive!",Spiral Atlas,https://spiralatlas.itch.io,In development,,,,,4.7,,Visual Novel,,"amare, Comedy, LGBT, LGBTQIA, non-binary, Romance",,,,,,11
1021919,https://apropos0.itch.io/error-0,https://img.itch.zone/aW1nLzU4MjYyODkucG5n/315x250%23c/FWZ3HJ.png,Error 0: New World Found,#64b774,#244c4c,#8cd49c,#54a578,#5d5a34,#a4d2ad,,"Where does the simulation end, and life begin?",Apropos,https://apropos0.itch.io,In development,,,,,4.7,,Visual Novel,,"Dating Sim, Fantasy, Furry, Gay, LGBT, Story Rich",,,,,,11
154514,https://lilybelmira.itch.io/flower,https://img.itch.zone/aW1hZ2UvMTU0NTE0LzcwODI5Ni5wbmc=/315x250%23c/V2REyO.png,watering a flower,#da8f3a,#2d5825,#facd93,#a45c6c,#234722,#c29687,,,Lily Belmira,https://lilybelmira.itch.io,Released,,Windows,,,4.8,,,,"diary, LGBT, Transgender",,,,,,11
568617,https://sensh-ii.itch.io/bewitching,https://img.itch.zone/aW1nLzI5ODc2MzQucG5n/315x250%23c/U5aKbi.png,Bewitching!,#aee838,#441884,#9982f1,#a56657,#381e2c,#cdb7ca,,A girl's love game about cute witches!,sensh_ii,https://sensh-ii.itch.io,Released,,"Windows, macOS",,,4.9,,"Visual Novel, Interactive Fiction",,"Casual, Cute, Dating Sim, Female Protagonist, LGBT, Multiple Endings, renpy, Romance, Text based",,,,,,11
663058,https://crescendo.itch.io/ciao-nonna,https://img.itch.zone/aW1nLzM1NzEwNjYucG5n/315x250%23c/vz7qC8.png,Ciao Nonna,#8cc474,#04141c,#b2dc9d,#709d69,#376d54,#a8cd9b,,How hard could it be to say goodbye?,Crescendo,https://crescendo.itch.io,Released,,HTML5,,,4.5,,Role Playing,"Aseprite, Tiled, MilkyTracker, GB Studio","Game Boy, LGBT",A few minutes,English,,"Color-blind friendly, High-contrast",,11
870604,https://smokeylives.itch.io/trans-fg,https://img.itch.zone/aW1nLzQ4OTMyODkucG5n/315x250%23c/GADSwx.png,TRANS F@G,#cdb030,#445192,#fcd4d2,#b580b7,#463868,#d5c0a5,,A reflection on life.,smokeylives,https://smokeylives.itch.io,Released,,HTML5,,,4.5,,,,"electric-zine-maker, Gay, LGBT, Transgender, zine",,,,,,11
265570,https://mrfifiak.itch.io/transmission,https://img.itch.zone/aW1hZ2UvMjY1NTcwLzEyNzk0OTUucG5n/315x250%23c/Rua9wT.png,TRANSmission Web Build,#5cbcfc,#024f82,#74c6fb,#025b96,#025b96,#c4bcdc,,Become a trans star and create a fanpage that reaches 1 million followers without downloading anything!,Fifka,https://mrfifiak.itch.io,Released,,HTML5,,,4.6,,,Unity,"facebook, ggj18, Global Game Jam, LGBT, lgbtq, polyjam, pride, Transgender, transsexual",A few minutes,English,Keyboard,,,11
1175185,https://nebby-nebula.itch.io/thebutton,https://img.itch.zone/aW1nLzY4NjU4MTYucG5n/315x250%23c/cJCrq9.png,The Button,#d95b54,#4c242c,#ebb277,#996c62,#4c2c2c,#c4947e,,A short game about finding your true self,Nebby,https://nebby-nebula.itch.io,Released,,"Windows, macOS, Linux, HTML5",,,4.3,,,"Unity, Bfxr, Adobe Photoshop","2D, Gender, LGBT, LGBTQIA, Pixel Art, Short, Singleplayer, Unity",A few minutes,English,"Keyboard, Mouse",Subtitles,,11
94418,https://glitterflounce.itch.io/find-your-girlfriend,https://img.itch.zone/aW1hZ2UvOTQ0MTgvNDQyMjkxLmpwZw==/315x250%23c/kBRTr4.jpg,Find Your Girlfriend,#7b7b83,#404044,#bababe,#76797f,#393e40,#b5b5b9,,A queer and spooky twine game. You're a bi bookshop worker trying to find your girlfriend - where is she?,glitterflounce,https://glitterflounce.itch.io,Released,,HTML5,,,4.7,,"Adventure, Interactive Fiction",Twine,"Halloween, LGBT, Meaningful Choices, Multiple Endings, Singleplayer, Spooky, Spoopy, Text based, Twine",,,,,,11
189611,https://cloverfirefly.itch.io/convergence,https://img.itch.zone/aW1hZ2UvMTg5NjExLzg4NzAzNC5wbmc=/315x250%23c/2t5HOj.png,convergence,#7f7f7f,#424242,#bcbcbc,#848484,#444444,#c4c4c4,,time travel visual novel,cloverfirefly,https://cloverfirefly.itch.io,Released,,"Windows, macOS, Linux",,,4.5,,"Visual Novel, Adventure",Ren'Py,"Cute, LGBT, renpy, yuri-jam",,,,,,11
